timestamp,link_type,tx_id,rx_id,received_power,path_loss,delay_spread,is_line_of_sight,num_paths,p_tot_watts,p_max_watts,dominance,k_factor,k_factor_db,prop_mode,received_power_watts,snr,snr_db,theoretical_throughput_bps,theoretical_throughput_mbps,mcs_index,spectral_efficiency_bpshz,throughput_mbps_mcs
0.0,V2I,BS_1,vehicle_0,-96.67,126.67,1089.43,False,1,2.152126351842e-13,2.152126351842e-13,1.0,inf,inf,D,2.152781734724374e-13,0.5379264704458705,-2.692770843001924,62098652.84889688,62.09865284889688,1,0.38,38.0
1.0,V2I,BS_1,vehicle_0,-96.31,126.31,1045.42,False,1,2.337133488399e-13,2.337133488399e-13,1.0,inf,inf,D,2.3388372386593537e-13,0.5844171011142812,-2.3327708430019283,66395217.79025206,66.39521779025206,1,0.38,38.0
2.0,V2I,BS_1,vehicle_0,-95.9,125.9,996.33,False,1,2.5730820921519997e-13,2.5730820921519997e-13,1.0,inf,inf,D,2.570395782768865e-13,0.6422778067888217,-1.9227708430019246,71569819.32398963,71.56981932398963,1,0.38,38.0
3.0,V2I,BS_1,vehicle_0,-95.45,125.45,946.42,False,1,2.8516636181379997e-13,2.8516636181379997e-13,1.0,inf,inf,D,2.85101826750391e-13,0.7123983676921313,-1.472770843001926,77601836.54293029,77.60183654293029,1,0.38,38.0
4.0,V2I,BS_1,vehicle_0,-94.99,124.99,897.28,False,1,3.1725352007729995e-13,3.1725352007729995e-13,1.0,inf,inf,D,3.1695674630434997e-13,0.7919958678269613,-1.0127708430019149,84156731.06809947,84.15673106809948,1,0.38,38.0
5.0,V2I,BS_1,vehicle_0,-94.51,124.51,849.58,False,1,3.5388140384809995e-13,3.5388140384809995e-13,1.0,inf,inf,D,3.5399734108343424e-13,0.8845510771700005,-0.532770843001932,91422089.70353055,91.42208970353055,1,0.38,38.0
5.0,V2I,BS_1,vehicle_1,-96.67,126.67,1089.43,False,1,2.152126351842e-13,2.152126351842e-13,1.0,inf,inf,D,2.152781734724374e-13,0.5379264704458705,-2.692770843001924,62098652.84889688,62.09865284889688,1,0.38,38.0
5.0,V2V,vehicle_0,vehicle_1,-76.31,99.31,0.03,True,2,2.3397798790440003e-11,2.2877407084140003e-11,0.977759,43.961898,16.43,D,2.3388372386593538e-11,58.44171011142812,17.667229156998072,589340371.7052342,589.3403717052341,5,3.3,330.0
5.0,V2V,vehicle_1,vehicle_0,-76.31,99.31,0.03,True,2,2.33977613659e-11,2.2877407084140003e-11,0.977761,43.96506,16.43,D,2.3388372386593538e-11,58.44171011142812,17.667229156998072,589340371.7052342,589.3403717052341,5,3.3,330.0
6.0,V2I,BS_1,vehicle_0,-94.01,124.01,801.53,False,1,3.9757939300719995e-13,3.9757939300719995e-13,1.0,inf,inf,D,3.971915494694405e-13,0.9924826323574224,-0.032770843001924684,99456714.88977943,99.45671488977943,1,0.38,38.0
6.0,V2I,BS_1,vehicle_1,-96.35,126.35,1049.71,False,1,2.318050080462e-13,2.318050080462e-13,1.0,inf,inf,D,2.31739464996848e-13,0.579059132925657,-2.3727708430019243,65906519.85453387,65.90651985453387,1,0.38,38.0
