timestamp,total_v2i_throughput_mbps
0.0,148.0
1.0,148.0
2.0,240.0
3.0,240.0
4.0,240.0
5.0,720.0
6.0,720.0
7.0,720.0
8.0,720.0
9.0,720.0
10.0,1200.0
11.0,1108.0
12.0,1198.0
13.0,1198.0
14.0,1198.0
15.0,1198.0
16.0,1288.0
17.0,1230.0
18.0,1230.0
19.0,1230.0
20.0,1558.0
21.0,1558.0
22.0,1800.0
23.0,1466.0
24.0,1466.0
25.0,1800.0
26.0,1800.0
27.0,1558.0
28.0,1318.0
29.0,1318.0
30.0,2038.0
31.0,1796.0
32.0,1796.0
33.0,2038.0
34.0,2130.0
35.0,2040.0
36.0,1950.0
37.0,1860.0
38.0,1860.0
39.0,1860.0
40.0,2100.0
41.0,2430.0
42.0,2430.0
43.0,2430.0
44.0,2340.0
45.0,2430.0
46.0,2430.0
47.0,2338.0
48.0,2430.0
49.0,2428.0
50.0,2816.0
51.0,2816.0
52.0,2394.0
53.0,2152.0
54.0,2060.0
55.0,1818.0
56.0,2004.0
57.0,2246.0
58.0,2154.0
59.0,2154.0
60.0,2332.0
61.0,2094.0
62.0,2094.0
63.0,2094.0
64.0,2336.0
65.0,2188.0
66.0,2188.0
67.0,1948.0
68.0,1948.0
69.0,1768.0
70.0,2518.0
71.0,2518.0
72.0,2518.0
73.0,2276.0
74.0,2186.0
75.0,2188.0
76.0,2188.0
77.0,2098.0
78.0,2098.0
79.0,2098.0
80.0,2244.0
81.0,2006.0
82.0,2338.0
83.0,2338.0
84.0,2338.0
85.0,2338.0
86.0,2156.0
87.0,2008.0
88.0,1916.0
89.0,2008.0
90.0,2008.0
91.0,2008.0
92.0,1768.0
93.0,1768.0
94.0,1528.0
95.0,1196.0
96.0,1048.0
97.0,1380.0
98.0,1380.0
99.0,1380.0
